"","cat","high.risk.prob","high.risk.lwr","high.risk.upr","low.risk.prob","low.risk.lwr","low.risk.upr"
"1",1,0.0190471945974439,0.0180308018677567,0.0201569440038559,0.00796019378908691,0.00746233652120196,0.00880122993118179
"2",2,0.0171676415019095,0.0162910879666551,0.0180992516058229,0.00856446214412506,0.00795192878091107,0.00960508119026684
"3",3,0.015793317541655,0.0150011278061572,0.0166266315720449,0.00875851123076587,0.00803108834862346,0.0100057348612918
"4",4,0.0162863442482423,0.0155733835842521,0.0170046937867583,0.00898701510405747,0.00829446204308147,0.0101701583923971
"5",5,0.0169045900057751,0.016239471062131,0.0175588639982517,0.00976484861416249,0.00897340737168578,0.0111510214512921
"6",6,0.016102498051953,0.0154449184554822,0.0167508582898945,0.00908839354619474,0.00865432338794908,0.00977486110695711
"7",7,0.0163439346395493,0.0157050728549438,0.0169712464082608,0.0092633847387824,0.0087636938096258,0.0101009259461127
"8",8,0.017820427344818,0.0171734802199647,0.0184727930108834,0.010761099232036,0.0101843722756114,0.0117356717052311
"9",9,0.0131755315765546,0.0126151084000838,0.0137667224643274,0.00805680100156764,0.00751322217986784,0.00897922109063096
"10",10,0.0151793757743745,0.01458457119604,0.0157839104229896,0.00957438511616974,0.00894993107199939,0.0106200027143086
"11",11,0.836179144717723,0.832983438983692,0.839078248412523,0.909220905483053,0.902574107137635,0.913216146630203
